ParkName,UnitCode,FieldName,FieldCode,Formula,IsInSTATS
Alibates Flint Quarries NM,ALFL,F2,Number of Visitors entering the Visitor Center,NULL,1
Apostle Islands NL,APIS,F107,NUMBER OF VISITORS AT ICE CAVES,NULL,1
Timpanogos Cave NM,TICA,F40,Number of Grotto Talks,NULL,0
Timpanogos Cave NM,TICA,F41,Grotto Talk Attendance,NULL,0
Timpanogos Cave NM,TICA,F42,Number of Deck Talks,NULL,0
Timpanogos Cave NM,TICA,F43,Deck Talk Attendance,NULL,0
San Antonio Missions NHP,SAAN,F5A,TRAFFIC COUNT AT WEST PARKING AREA (MISSION SAN JUAN),NULL,1
San Antonio Missions NHP,SAAN,F38,TRAFFIC COUNT AT MISSION SAN JUAN WEST PARKING LOT,"IIF(RY GTE 2014,F5A,F5A/2)",1
War in the Pacific NHP,WAPA,F13,DAY USE RESERVATIONS,NULL,0
Dry Tortugas NP,DRTO,F29,RECREATION VESSELS,F4,0
Dry Tortugas NP,DRTO,F30,COMMERCIAL REC VESSELS,F4A,0
Dry Tortugas NP,DRTO,F31,MORNING COMMERCIAL FISHERMAN VESSELS,F5,0
Abraham Lincoln Birthplace NHP,ABLI,F17,KNOB CREEK VISITATION,(F13-F12)*PPV,1
San Antonio Missions NHP,SAAN,F41,MISSION CONCEPCION NON-REPORTABLE VEHICLES,"IIF(RY GTE 2014,464,IIF(RY LTE 2003,960,0))",1
San Antonio Missions NHP,SAAN,F54,ESPADA AND ACEQUIA NON-REPORTABLE VEHICLES,"IIF(RY GTE 2014,435,0)",1
San Antonio Missions NHP,SAAN,F55,ACEQUIA  PARK VISITORS,"((F34-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F62",0
San Antonio Missions NHP,SAAN,F56,ESPADA PARK VISITORS,"((F35-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F61",0
San Antonio Missions NHP,SAAN,F57,WALKERS/BIKE USERS ESTIMATE,"IIF(RM GTE 6 AND RM LTE 8,750,1500)",1
San Antonio Missions NHP,SAAN,F13A,"MISSION CONCEPCION TOTAL UNADJUSTED VISITORS ",(((F27-F41)-F68)*2.6)+(F68*32)+F59+F48,1
San Antonio Missions NHP,SAAN,F19A,MISSION SAN JOSE WITH CHURCH ATTENDANCE,F19+F50,1
San Antonio Missions NHP,SAAN,F61,ACEQUIA PARK  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F62,ESPADA PARK  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F63,"HIKE AND BIKE TRAIL  UNCOUNTED VISITATION ",NULL,1
San Antonio Missions NHP,SAAN,F64,MISSION SAN JUAN  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F65,AQUEDUCT PARKING AREA  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F66,MISSION ESPADA  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F67,ESPADA PARISH  UNCOUNTED VISITATION,NULL,1
San Antonio Missions NHP,SAAN,F68,MISSION CONCEPCION BUSES,NULL,1
San Antonio Missions NHP,SAAN,F69,MISSION SAN JOSE BUSES,NULL,1
San Antonio Missions NHP,SAAN,F70,MISSION SAN JUAN BUSES,NULL,1
San Antonio Missions NHP,SAAN,F71,MISSION ESPADA BUSES,NULL,1
San Antonio Missions NHP,SAAN,F13AA,MISSION CONCEPCION PRE 2014 AND PREADJUSTMENT,((F27-F41)-F68)*2.6,1
San Antonio Missions NHP,SAAN,F17AA,MISSION SAN JUAN PREADJUSTED VISITORS,((((F31+F38)-F51)-F70)*2.6),1
San Antonio Missions NHP,SAAN,F19AA,MISSION SAN JOSE PRE ADJUSTED VISITORS,((((F32+F33)-F49)-F69)*2.6),1
San Antonio Missions NHP,SAAN,F43AA,MISSION ESPADA PRE ADJUSTED VISITORS,((((F28+F29)-F42)-F71)*2.6),1
San Antonio Missions NHP,SAAN,F46A,ESPADA PARRISH UNADJUSTED,((F30-F45)*2.6),1
San Antonio Missions NHP,SAAN,F76,OTHER VISITORS,F59+F60+F61+F62+F63+F64+F65+F66+F67,1
San Antonio Missions NHP,SAAN,F77,BUS PASSENGERS,(F68+F69+F70+F71)*32,1
San Antonio Missions NHP,SAAN,F75,CHURCH VISITORS,F48+F50,1
San Antonio Missions NHP,SAAN,F23A,MISSION PKY ACEQUIA PARK,"((F34-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F61",1
San Antonio Missions NHP,SAAN,F23B,MISSION PKY ESPADA PARK,"((F35-F54)*IIF(RM GTE 6 AND RM LTE 9,2.8,1.8))+F62",1
San Antonio Missions NHP,SAAN,F23C,HIKE AND BIKE TRAIL ACEQUIA PARK,F36+F37+F63,1
San Antonio Missions NHP,SAAN,F21AA,AQUEDUCT PREADJUSTED,(F8-F52)*2.6,1
San Antonio Missions NHP,SAAN,F100,MISSION CONCEPCION PRE 2014 AND PREADJUSTMENT,((F27-F41)-F68)*2.6,0
Death Valley NP,DEVA,F48,Overnight Stays at The Oasis Fiddlers Campground,NULL,0
Gauley River NRA,GARI,F20,(OLD) DAYS OBSERVED TENT/RV SITES AT DAM,NULL,0
Gauley River NRA,GARI,F19,DAYS IN THE MONTH,"IIF(RM EQ 1 OR RM EQ 3 OR RM EQ 5 OR RM EQ 7 OR RM EQ 8 OR RM EQ 10 OR RM EQ 11,31,IIF(RM EQ 2,28,30))",0
Gauley River NRA,GARI,F14,ESTIMATED TENT CAMPERS AT DAM,"IIF(F3 EQ 0,0,((F3/F20)*F19)*PPV)",0
Gauley River NRA,GARI,F15,ESTIMATED RV CAMPERS AT DAM,"IIF(F4 EQ 0,0,((F4/F20)*F19)*PPV)",0
Canyonlands NP,CANY,F62,ISLAND IN THE SKY VC,NULL,0
Salt River Bay NHP & Ecological Pres,SARI,F13,NUMBER OF BUSHTRIBE TOURS,NULL,0
Salt River Bay NHP & Ecological Pres,SARI,F14,VISITORS ON BUSHTRIBE TOURS,NULL,1
Buck Island Reef NM,BUIS,F10A,NUMBER OF EDUCATION TOURS,NULL,0
Valley Forge NHP,VAFO,F20,VISITORS TO THE TRAIN STATION,NULL,0
Valley Forge NHP,VAFO,F21,VISITORS TO WASHINGTON'S HEADQUARTERS,NULL,0
Valley Forge NHP,VAFO,F22,VISITORS TO MUHLENBERG BRIGADE,NULL,0
Valley Forge NHP,VAFO,F35,OUAN SECRETS AND SPIES,NULL,0
Valley Forge NHP,VAFO,F36A,FRIENDS BIRD WALKS ATTENDANCE,NULL,0
Valley Forge NHP,VAFO,F95,AVERAGE OF THEATER DOORS,(F90+F91)/2,0
Valley Forge NHP,VAFO,F26,STORYTELLING TOTAL ATTENDANCE,"IIF(RY GTE 2017, (F24A+F25A+F26A), F24A+F25A)",0
Valley Forge NHP,VAFO,F38,NUMBER OF WASHINGTON LEADERSHIP TALKS,NULL,0
Valley Forge NHP,VAFO,F38A,WASHINGTON LEADERSHIP TALK ATTENDANCE,NULL,0
Valley Forge NHP,VAFO,F72,NUMBER OF SOLDIER LIFE PROGRAMS,NULL,0
Valley Forge NHP,VAFO,F72A,SOLDIER LIFE PROGRAM ATTENDANCE,NULL,0
Valley Forge NHP,VAFO,F206,TOTAL RANGER ED PROGRAMS,F72+F73+F74+F76+F79P+F47+F48,0
