UnitCode,ParkName,Date,Comments,Year,MonthName,MonthNumber,Prompt,WordCount,TokenCount,CharacterCount,Output
WWIM,World War I Memorial,2021-04-01,4/17/2021  Memorial opened to the public.,2021,April,4,"Comment for April:
4/17/2021  Memorial opened to the public.",9,17,60,April: No Closures.
LIBO,Lincoln Boyhood NMEM,2013-10-01,Park closed for 16 days due to government shutdown.,2013,October,10,"Comment for October:
Park closed for 16 days due to government shutdown.",12,15,72,October: Park closed for 16 days due to government shutdown.
LIBO,Lincoln Boyhood NMEM,2008-09-01,Sep 16: lost power due to Hurricane Ike. ,2008,September,9,"Comment for September:
Sep 16: lost power due to Hurricane Ike. ",11,16,64,September: No Closures.
LIBO,Lincoln Boyhood NMEM,2018-12-01,Park was closed from December 22 - December 31 due to shutdown.,2018,December,12,"Comment for December:
Park was closed from December 22 - December 31 due to shutdown.",15,19,85,December: Park was closed from December 22 - December 31 due to shutdown.
LIBO,Lincoln Boyhood NMEM,2008-06-01,"May 10-11: 4,300 Boy & Girl Scouts participate in an encampment.",2008,June,6,"Comment for June:
May 10-11: 4,300 Boy & Girl Scouts participate in an encampment.",14,25,82,June: No Closures.
LIBO,Lincoln Boyhood NMEM,2008-10-01,A combination of good weather and keeping the farm open through October 25 translated into higher than normal visitation numbers for the month.,2008,October,10,"Comment for October:
A combination of good weather and keeping the farm open through October 25 translated into higher than normal visitation numbers for the month.",26,30,164,October: No Closures.
LIBO,Lincoln Boyhood NMEM,2008-05-01,"On May 10, we hosted 5000 boy scouts who were part of the Lincoln Bicentennial encampment held at the adjacent Lincoln State Park.  ",2008,May,5,"Comment for May:
On May 10, we hosted 5000 boy scouts who were part of the Lincoln Bicentennial encampment held at the adjacent Lincoln State Park.  ",26,38,149,May: No Closures.
LIBO,Lincoln Boyhood NMEM,2018-10-01,Two special events at the farm were attended by a combined total of over 200 people. Death in a One Room Log Cabin marked the 200th anniversary of the death of Lincoln's mother and was filmed by a group of media students from Indiana University.  Attendance exceeded 100. Our annual cushaw fest was held the following weekend and attracted over 100 visitors.,2018,October,10,"Comment for October:
Two special events at the farm were attended by a combined total of over 200 people. Death in a One Room Log Cabin marked the 200th anniversary of the death of Lincoln's mother and was filmed by a group of media students from Indiana University.  Attendance exceeded 100. Our annual cushaw fest was held the following weekend and attracted over 100 visitors.",65,78,379,October: No Closures.
GWMP,George Washington MEM PKWY,2010-04-01,"three year averages were used for Glen Echo Park, Great Falls Park Unit and the US Marine Memorial",2010,April,4,"Comment for April:
three year averages were used for Glen Echo Park, Great Falls Park Unit and the US Marine Memorial",21,23,117,April: No Closures.
GWMP,George Washington MEM PKWY,2010-06-01,		The last three year averages were used for the following: US Marines Memorial Great Falls Park Unit Glen Echo Park   		,2010,June,6,"Comment for June:
		The last three year averages were used for the following: US Marines Memorial Great Falls Park Unit Glen Echo Park   		",23,27,139,June: No Closures.
GWMP,George Washington MEM PKWY,2010-10-01,MVT users at Belle Haven MP8: battery connection bad. Fixed on November 11. (used three year average)  ,2010,October,10,"Comment for October:
MVT users at Belle Haven MP8: battery connection bad. Fixed on November 11. (used three year average)  ",20,30,124,October: No Closures.
